a, 하나의
about, ~에 대하여
above, 위에
after, ~후에
again, 다시
all, 모두
always, 항상
and, 그리고
animal, 동물
another, 또 다른
answer, 대답하다
any, 어떤
are, ~이다
around, 주위에
ask, 묻다
at, ~에
away, 멀리
back, 뒤로
bad, 나쁜
be, ~이다
because, ~때문에
become, ~되다
before, ~전에
begin, 시작하다
behind, 뒤에
believe, 믿다
best, 최고의
better, 더 나은
between, ~사이에
big, 큰
bird, 새
black, 검은색
blue, 파란색
body, 몸
book, 책
both, 둘 다
boy, 소년
bring, 가져오다
brother, 형제
buy, 사다
call, 부르다
can, 할 수 있다
car, 자동차
carry, 나르다
cat, 고양이
child, 아이
children, 아이들
choose, 선택하다
clean, 청소하다
close, 닫다
cold, 추운
come, 오다
correct, 맞는
could, ~할 수 있었다
cut, 자르다
day, 날
did, 했다
do, 하다
dog, 개
door, 문
down, 아래로
draw, 그리다
drink, 마시다
drive, 운전하다
eat, 먹다
eight, 여덟
end, 끝나다
every, 모든
example, 예시
eye, 눈
face, 얼굴
fall, 떨어지다
family, 가족
far, 먼
fast, 빠른
father, 아버지
feel, 느끼다
find, 찾다
first, 첫 번째의
five, 다섯
fly, 날다
food, 음식
for, ~을 위해
found, 발견했다
four, 넷
friend, 친구
from, ~로부터
get, 얻다
give, 주다
go, 가다
good, 좋은
great, 훌륭한
green, 초록색
had, 가졌다
hand, 손
happy, 행복한
has, 가지고 있다
have, 가지다
he, 그는
help, 돕다
her, 그녀의
here, 여기
him, 그를
his, 그의
home, 집
house, 집
how, 어떻게
I, 나는
if, 만약
in, ~안에
into, ~안으로
is, ~이다
it, 그것
its, 그것의
jump, 점프하다
just, 단지
keep, 유지하다
know, 알다
large, 큰
last, 마지막의
learn, 배우다
left, 왼쪽의
let, 허락하다
like, 좋아하다
little, 작은
live, 살다
long, 긴
look, 보다
made, 만들었다
make, 만들다
man, 남자
many, 많은
may, ~일지도 모른다
me, 나
mean, 의미하다
might, ~할지도 모른다
more, 더 많은
most, 가장
mother, 어머니
much, 많은
must, ~해야 한다
my, 나의
name, 이름
near, 가까운
need, 필요하다
never, 결코 ~않다
new, 새로운
next, 다음의
night, 밤
no, 아니
not, ~아니다
now, 지금
of, ~의
off, 떨어져
old, 오래된
on, ~위에
once, 한 번
one, 하나
only, 오직
open, 열다
or, 또는
other, 다른
our, 우리의
out, 밖으로
over, ~위에
own, 자신의
part, 부분
people, 사람들
place, 장소
play, 놀다
put, 놓다
read, 읽다
red, 빨간색
right, 오른쪽
run, 달리다
said, 말했다
same, 같은
saw, 봤다
say, 말하다
school, 학교
see, 보다
she, 그녀는
show, 보여주다
small, 작은
so, 그래서
some, 약간
something, 무언가
start, 시작하다
stop, 멈추다
study, 공부하다
such, 그러한
take, 가져가다
tell, 말하다
than, ~보다
that, 그것
the, 그
their, 그들의
them, 그들을
then, 그때
there, 거기에
these, 이것들
they, 그들은
thing, 것
think, 생각하다
this, 이것
those, 저것들
three, 셋
time, 시간
to, ~로
today, 오늘
together, 함께
too, 너무
took, 가져갔다
tree, 나무
two, 둘
under, 아래에
up, 위로
us, 우리
use, 사용하다
very, 매우
want, 원하다
was, ~이었다
water, 물
way, 길
we, 우리는
well, 잘
went, 갔다
were, ~이었다
what, 무엇
when, 언제
where, 어디에
which, 어느
while, ~하는 동안
who, 누구
why, 왜
will, ~할 것이다
with, ~와 함께
word, 단어
work, 일하다
world, 세계
would, ~할 것이다
write, 쓰다
year, 년
yes, 네
you, 너
your, 너의
